,neg_sent,neu_sent,pos_sent
964,0.025,0.859,0.116
965,0.011,0.834,0.155
966,0.029,0.781,0.19
967,0.023,0.818,0.159
968,0.035,0.836,0.129
969,0.013,0.83,0.157
970,0.017,0.837,0.146
971,0.017,0.831,0.152
972,0.028,0.809,0.163
973,0.021,0.841,0.138
974,0.022,0.849,0.13
975,0.028,0.832,0.14
976,0.045,0.829,0.125
977,0.024,0.81,0.167
978,0.019,0.79,0.19
979,0.022,0.814,0.164
980,0.015,0.849,0.135
981,0.007,0.834,0.159
982,0.01,0.873,0.117
983,0.032,0.835,0.133
984,0.013,0.835,0.152
985,0.009,0.884,0.107
986,0.025,0.869,0.106
987,0.028,0.82,0.153
988,0.034,0.827,0.14
989,0.011,0.824,0.165
990,0.031,0.845,0.125
991,0.017,0.83,0.153
992,0.029,0.82,0.151
993,0.01,0.833,0.157
994,0.017,0.797,0.186
995,0.024,0.848,0.127
996,0.017,0.867,0.116
997,0.042,0.824,0.134
998,0.021,0.819,0.161
999,0.017,0.851,0.132
1000,0.025,0.816,0.159
1001,0.013,0.831,0.156
1002,0.028,0.787,0.185
1003,0.028,0.821,0.151
1004,0.019,0.831,0.15
1005,0.019,0.806,0.175
1006,0.019,0.838,0.143
1007,0.028,0.861,0.112
1008,0.036,0.834,0.129
1009,0.032,0.836,0.132
1010,0.025,0.845,0.129
1011,0.017,0.818,0.165
1012,0.02,0.807,0.172
1013,0.018,0.845,0.137
1014,0.035,0.836,0.129
1015,0.007,0.825,0.168
1016,0.027,0.852,0.121
1017,0.022,0.866,0.112
1018,0.024,0.8,0.177
1019,0.021,0.85,0.13
1020,0.013,0.836,0.151
1021,0.031,0.862,0.107
1022,0.041,0.812,0.147
1023,0.015,0.83,0.155
1024,0.022,0.825,0.153
1025,0.017,0.829,0.154
1026,0.028,0.856,0.115
1027,0.018,0.817,0.165
1028,0.016,0.844,0.14
1029,0.047,0.847,0.105
1030,0.02,0.85,0.131
1031,0.03,0.853,0.117
1032,0.031,0.807,0.161
1033,0.017,0.836,0.147
1034,0.01,0.853,0.136
1035,0.027,0.838,0.135
1036,0.019,0.849,0.132
1037,0.014,0.796,0.191
1038,0.033,0.805,0.162
1039,0.027,0.826,0.147
1040,0.014,0.814,0.172
1041,0.039,0.807,0.154
1042,0.006,0.83,0.163
1043,0.015,0.833,0.152
1044,0.02,0.825,0.154
1045,0.037,0.873,0.09
1046,0.015,0.842,0.143
