,Topic0,Topic1,Topic2,Topic3,dominant_topic,merge_col
Doc1279,0.48,0.02,0.49,0.02,2,1282
Doc1280,0.95,0.02,0.02,0.02,0,1283
Doc1281,0.8,0.01,0.18,0.01,0,1284
Doc1282,0.95,0.02,0.02,0.02,0,1285
Doc1283,0.96,0.01,0.02,0.01,0,1286
Doc1284,0.02,0.02,0.95,0.02,2,1287
Doc1285,0.95,0.01,0.02,0.01,0,1288
Doc1286,0.94,0.02,0.02,0.02,0,1289
Doc1287,0.96,0.01,0.01,0.01,0,1290
Doc1288,0.95,0.02,0.02,0.02,0,1291
Doc1289,0.15,0.01,0.82,0.01,2,1292
Doc1290,0.96,0.01,0.02,0.01,0,1293
Doc1291,0.95,0.02,0.02,0.02,0,1294
Doc1292,0.96,0.01,0.01,0.01,0,1295
Doc1293,0.02,0.01,0.95,0.01,2,1296
Doc1294,0.02,0.02,0.95,0.02,2,1297
Doc1295,0.02,0.02,0.95,0.02,2,1298
Doc1296,0.95,0.02,0.02,0.02,0,1299
Doc1297,0.96,0.01,0.01,0.01,0,1300
Doc1298,0.02,0.02,0.95,0.02,2,1301
Doc1299,0.96,0.01,0.01,0.01,0,1302
Doc1300,0.02,0.02,0.94,0.02,2,1303
Doc1301,0.96,0.01,0.01,0.01,0,1304
Doc1302,0.97,0.01,0.01,0.01,0,1305
Doc1303,0.95,0.01,0.02,0.01,0,1306
Doc1304,0.02,0.02,0.95,0.02,2,1307
Doc1305,0.95,0.02,0.02,0.02,0,1308
Doc1306,0.02,0.02,0.95,0.02,2,1309
Doc1307,0.96,0.01,0.01,0.01,0,1310
Doc1308,0.93,0.02,0.02,0.02,0,1311
Doc1309,0.02,0.01,0.96,0.01,2,1312
Doc1310,0.95,0.02,0.02,0.02,0,1313
Doc1311,0.15,0.02,0.81,0.02,2,1314
Doc1312,0.95,0.02,0.02,0.02,0,1315
Doc1313,0.96,0.01,0.01,0.01,0,1316
Doc1314,0.95,0.02,0.02,0.02,0,1317
Doc1315,0.96,0.01,0.02,0.01,0,1318
Doc1316,0.02,0.02,0.94,0.02,2,1319
Doc1317,0.87,0.09,0.02,0.02,0,1320
Doc1318,0.02,0.02,0.95,0.02,2,1321
Doc1319,0.21,0.02,0.76,0.02,2,1322
Doc1320,0.95,0.02,0.02,0.02,0,1323
Doc1321,0.95,0.02,0.02,0.02,0,1324
Doc1322,0.49,0.01,0.48,0.01,0,1325
Doc1323,0.01,0.01,0.96,0.01,2,1326
Doc1324,0.01,0.01,0.96,0.01,2,1327
Doc1325,0.02,0.02,0.95,0.02,2,1328
Doc1326,0.95,0.02,0.02,0.02,0,1329
Doc1327,0.02,0.02,0.95,0.02,2,1330
Doc1328,0.95,0.02,0.02,0.02,0,1331
